market_unique_key,n_connected_markets,n_connected_toxic,n_connected_clean
0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,49,0,49
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,0,0,0
0x1c6f0822b996c86b2cace788cc265beb4f84585456aba8f424c710e67116b93d,0,0,0
0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,0,0,0
0x37cd54128e3f569e97c8dcd2bdf60ea7737a188bd9b950adb35089de38813855,0,0,0
0xc05394d0261ed1c3c1af310007fdc4e64b3bcf650822b70526763fefc64b729e,0,0,0
0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0,0,0
0xf62889596262da8f0745617b3c45f2b300f44774c17877cbb6f025ee99ca782c,0,0,0
0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,0,0,0
0x7527be7772eb6e2e6bd9a5a9cc83dcd67fd1c9e6103d09868d0308eb3b70af2c,0,0,0
0x39fe55e5102beac5fb3caff54142f26250b97dcdb5bea6122818c7760f38b331,0,0,0
0x226a59cd57c8c75ddaf440e2be68b92dbf8dafaed6a715290d0789d1fdc521c2,0,0,0
0x7c03103c24ccfa9188bf41a8d44423cf5492645805eb1d23d9f862717d3fe5ab,0,0,0
0x9e90aec7d768403dacc9dd0d8320307fda3f980eed4df43e3e52168a1c667709,0,0,0
0x7182fd5e9c6a77156d6ac024d1e462b9ca3a85463961957a5e3d367c9ce44b84,0,0,0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,0,0,0
0x8d009383866dffaac5fe25af684e93f8dd5a98fed1991c298624ecc3a860f39f,0,0,0
0x46b46943e982bf04f7b07ff37c95b539e35ccd8cf93c331cd9659398aa8f7bee,0,0,0
