vault_address,vault_name,curator_name,chain_id,total_assets_usd,n_total_markets,n_toxic_markets,toxic_allocation_usd,clean_allocation_usd,toxic_pct_of_total
0x1265a81d42d513Df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,Unknown,1,3152.7730200316387,3,1,3152.7730200316387,0.0,100.0
0x94643e86aa5E38DDAc6c7791C1297f4E40cD96c1,1337 USDC,Unknown,1,956404.8145962387,19,1,382700.7983109238,956404.8145962388,40.01452026070017
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,Unknown,1,34351022.34745595,50,1,4412142.630816945,29938879.71663901,12.844283311829031
0x777791C4d6DC2CE140D00D2828a7C93503c67777,Hyperithm USDC Degen,Unknown,1,158759526.18412036,77,1,14849697.6107335,143909828.57338688,9.35357894272855
0xca7c196f00e04A5e1c71B91476d0d58f82499734,Tanken USDC,Unknown,1,10701.26896768103,16,1,642.2191421620229,10059.049825519009,6.00133632844472
0x5b56F90340dBAa6a8693DADb141D620f0e154fE6,Avantgarde USDC Core,Unknown,1,12809499.778865263,30,1,331991.59510366106,12477508.183761604,2.591760809047539
0xd63070114470f685b75B74D60EEc7c1113d33a3D,MEV Capital USDC,Unknown,1,298730410.3061282,78,2,2817620.1981856567,295912790.1079425,0.9431983155977528
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,Unknown,1,4039.5820969139263,5,2,0.07049405990913234,4039.5116028540174,0.001745082986752191
0x0B6C8ef0DE1Be5ed1B59E6e7a67fB9442FB9E49C,Duplicated Key,Unknown,1,20172.084336650274,56,1,0.0,20172.084336650274,0.0
0x38248d715336d4CAd20d3e12E8dc34DA596f9d6c,RIMU USDC,Unknown,1,0.010190984748592868,8,1,0.0,0.010190984748592868,0.0
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,Unknown,1,40369673.20740554,60,2,0.0,40369673.20740552,0.0
0x889dd190bB6b0662DB3fE0AAc29eEDCa3D2ba22A,MEV Elixir sUSDS,Unknown,1,0.0,5,1,0.0,0.0,0.0
0x974c8FBf4fd795F66B85B73ebC988A51F1A040a9,Hakutora USDC,Unknown,1,32245682.927475598,25,1,0.0,32245682.927475594,0.0
0xB8C9Ae462626Ec6162645F3E7e3441E7918c89F0,Bandit USDC,Unknown,1,32.941859798384556,8,1,0.0,32.941859798384556,0.0
0xBEeFFF209270748ddd194831b3fa287a5386f5bC,Smokehouse USDC,Unknown,1,231694058.58155426,69,1,0.0,232831764.67750847,0.0
0xD50B9Bbf136D1BD5CD5AC6ed9b3F26c458a6d4A6,(Deployer),Unknown,1,1.168112007664597,10,1,0.0,1.1681120076645972,0.0
0xbdbF0494Af9826ba25bcb810e23C36Bc6D8378fA,Dream Charity Vault,Unknown,1,0.0,3,1,0.0,0.0,0.0
0xc582F04d8a82795aa2Ff9c8bb4c1c889fe7b754e,Gauntlet USDC Frontier,Unknown,1,62705924.4331625,60,1,0.0,62705924.4331625,0.0
0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,Unknown,1,1928702.316597225,30,1,0.0,1928702.316597225,0.0
